Racial Words,Ethinicity,Reason-Context
925,Blacks,"Police Code in Suburban LA for ""Suspicious Person"""
AA,Blacks,"African American. Could also refer to double-A batteries, which you use for a while then throw away."
Abeed,Blacks,"Arabic term that means Black, many Middle Eastern immigrants to the United States use this"
African,Blacks,Home continent.
Africoon,Blacks,Combination of African and Coon.
Afro,Blacks,Referring to hairstyle
Americoon,Blacks,Combination of American and Coon.
Angus,Blacks,Angus are a black breed of beef cattle.
Ape,Blacks,Self Explanatory.
Apple,Blacks,"Has to do with ""hanging from a tree""."
Arf,Blacks,African Rock Fish. Jones Beach (NYC) term for Blacks due to their poor swimming abilities.
Ashy,Blacks,When their skin gets dry it can tend to look ashy.
Baboomba,Blacks,"From the ""booming"" of their car stereos."
Baboon,Blacks,Another simian reference
Baluba,Blacks,Name belonging to a tribe that killed Irish soldiers in Africa.
Baluga,Blacks,"Filipino equiv. to Nigger, known by all Filipinos"
Bantu,Blacks,Comes from the apartheid racial classification for Blacks. Rarely used today. Derogatory
BAP,Blacks,"Means ""Black American Princess"". Arrogant female blacks who flaunt their money around and demand the finest things in life."
BBK,Blacks,"Big Black Cocks. Spelled with a K, as in the Korn song of the same title."
BDN,Blacks,"""Big Dummy Nigger"" Comes from the movie ""The Green Mile"". A white prisoner calls a black prisoner a Big Dummy Nigger."
Bear,Blacks,Black Educated And Rich